id,question
1,Find innovation opportunities for tiotropium in India over the next 5 years.
2,Which respiratory diseases in India show high patient burden but limited clinical trial activity?
3,Identify molecules in COPD with patents expiring within the next 2 years and strong market growth.
4,Where is the whitespace in severe asthma therapy in the US when considering trials and guidelines?
5,For tiotropium, compare EXIM trade dependence for India versus the US over the last 5 years.
6,Highlight potential new indications or patient segments for tiotropium based on clinical trials and web evidence.
7,Which therapy areas in India have high market growth but low competition according to IQVIA mock data?
8,For respiratory LAMAs, flag molecules where internal field insights suggest adherence or access gaps.
9,Assess biosimilar opportunities in inhaled respiratory therapies based on patent expiries and market size.
10,Generate a one-page innovation brief for tiotropium in India summarising market, patents, trials, and unmet needs.


